NAME, PARENT, GRAPH_TYPE, GOD_ONLY, IS_TITLE, IS_PROFESSION, IS_HIDDEN, MONEY_REQUIRED, POINTS_REQUIRED, SKILLS_REQUIRED_COUNT, SKILLS_REQUIRED, PRECLUSION_SKILLS, XP_TYPE, XP_COST, XP_CAP, MISSIONS_REQUIRED, APPRENTICESHIPS_REQUIRED, STATS_REQUIRED, SPECIES_REQUIRED, JEDI_STATE_REQUIRED, SKILL_ABILITY, COMMANDS, SKILL_MODS, SCHEMATICS_GRANTED, SCHEMATICS_REVOKED, SEARCHABLE, ENDER
social_entertainer_healing_02, social_entertainer_healing_01, fourByFour, False, False, False, False, 2000, 1, 0, social_entertainer_healing_01, , entertainer_healing, 5000, 20000, , 0, , , none, , private_entertainer_healing_2, healing_dance_wound=5,healing_music_wound=5, , , True, 0
social_entertainer_healing_03, social_entertainer_healing_02, fourByFour, False, False, False, False, 3000, 1, 0, social_entertainer_healing_02, , entertainer_healing, 10000, 50000, , 0, , , none, , private_entertainer_healing_3, healing_dance_wound=5,healing_music_wound=5, , , True, 0
social_entertainer_healing_04, social_entertainer_healing_03, fourByFour, False, True, False, False, 4000, 1, 0, social_entertainer_healing_03, , entertainer_healing, 25000, 75000, , 0, , , none, , private_entertainer_healing_4, healing_dance_wound=5,healing_music_wound=5, , , True, 0
outdoors, , fourByFour, True, False, False, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
outdoors_scout, outdoors, fourByFour, False, False, True, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
outdoors_scout_novice, outdoors_scout, fourByFour, False, True, False, False, 100, 15, 0, , , , 0, 0, , 0, , , none, , private_scout_novice,harvestCorpse, trapping=5,camp=5,creature_knowledge=5,creature_harvesting=15, craftScoutCampGroupA,craftScoutTrapGroupNovice, , True, 0
outdoors_scout_master, outdoors_scout, fourByFour, False, True, False, False, 5000, 6, 0, outdoors_scout_movement_04,outdoors_scout_tools_04,outdoors_scout_harvest_04,outdoors_scout_camp_04, , , 0, 0, , 0, , , none, , private_scout_master, slope_move=10,burst_run=10,camp=10,foraging=15,creature_knowledge=10,creature_harvesting=5,mask_scent=30,trapping=20, , , True, 0
outdoors_scout_movement_01, outdoors_scout, fourByFour, False, False, False, False, 1000, 2, 0, outdoors_scout_novice, , scout, 1000, 10000, , 0, , , none, , private_scout_movement_1, slope_move=20, , , True, 0
outdoors_scout_movement_02, outdoors_scout_movement_01, fourByFour, False, False, False, False, 2000, 3, 0, outdoors_scout_movement_01, , scout, 5000, 20000, , 0, , , none, , private_scout_movement_2,maskscent, burst_run=20,mask_scent=20, , , True, 0
outdoors_scout_movement_03, outdoors_scout_movement_02, fourByFour, False, False, False, False, 3000, 4, 0, outdoors_scout_movement_02, , scout, 10000, 30000, , 0, , , none, , private_scout_movement_3, slope_move=20,mask_scent=20, , , True, 0
outdoors_scout_movement_04, outdoors_scout_movement_03, fourByFour, False, True, False, False, 4000, 5, 0, outdoors_scout_movement_03, , scout, 15000, 30000, , 0, , , none, , private_scout_movement_4, burst_run=20,mask_scent=30, , , True, 0
outdoors_scout_tools_01, outdoors_scout, fourByFour, False, False, False, False, 1000, 2, 0, outdoors_scout_novice, , trapping, 1000, 10000, , 0, , , none, , private_scout_tools_1, trapping=5, craftScoutTrapGroupA, , True, 0
outdoors_scout_tools_02, outdoors_scout_tools_01, fourByFour, False, False, False, False, 2000, 3, 0, outdoors_scout_tools_01, , trapping, 5000, 20000, , 0, , , none, , private_scout_tools_2, trapping=5, craftScoutTrapGroupB, , True, 0
outdoors_scout_tools_03, outdoors_scout_tools_02, fourByFour, False, False, False, False, 3000, 4, 0, outdoors_scout_tools_02, , trapping, 10000, 30000, , 0, , , none, , private_scout_tools_3, trapping=5, craftScoutTrapGroupC, , True, 0
outdoors_scout_tools_04, outdoors_scout_tools_03, fourByFour, False, True, False, False, 4000, 5, 0, outdoors_scout_tools_03, , trapping, 15000, 30000, , 0, , , none, , private_scout_tools_4, trapping=10, craftScoutTrapGroupD, , True, 0
outdoors_scout_harvest_01, outdoors_scout, fourByFour, False, False, False, False, 1000, 2, 0, outdoors_scout_novice, , scout, 1000, 10000, , 0, , , none, , private_scout_harvest_1, creature_knowledge=5,creature_harvesting=5, , , True, 0
outdoors_scout_harvest_02, outdoors_scout_harvest_01, fourByFour, False, False, False, False, 2000, 3, 0, outdoors_scout_harvest_01, , scout, 5000, 20000, , 0, , , none, , private_scout_harvest_2, creature_knowledge=10,creature_harvesting=10,creature_hit_bonus=10, , , True, 0
outdoors_scout_harvest_03, outdoors_scout_harvest_02, fourByFour, False, False, False, False, 3000, 4, 0, outdoors_scout_harvest_02, , scout, 10000, 30000, , 0, , , none, , private_scout_harvest_3, creature_knowledge=10,creature_harvesting=5, , , True, 0
outdoors_scout_harvest_04, outdoors_scout_harvest_03, fourByFour, False, True, False, False, 4000, 5, 0, outdoors_scout_harvest_03, , scout, 15000, 30000, , 0, , , none, , private_scout_harvest_4, creature_knowledge=10,creature_harvesting=10, , , True, 0
outdoors_scout_camp_01, outdoors_scout, fourByFour, False, False, False, False, 1000, 2, 0, outdoors_scout_novice, , camp, 1000, 10000, , 0, , , none, , private_scout_camp_1,forage, camp=5,foraging=5, , , True, 0
outdoors_scout_camp_02, outdoors_scout_camp_01, fourByFour, False, False, False, False, 2000, 3, 0, outdoors_scout_camp_01, , camp, 5000, 20000, , 0, , , none, , private_scout_camp_2, camp=10,foraging=10, craftScoutCampGroupB, , True, 0
outdoors_scout_camp_03, outdoors_scout_camp_02, fourByFour, False, False, False, False, 3000, 4, 0, outdoors_scout_camp_02, , camp, 10000, 40000, , 0, , , none, , private_scout_camp_3, camp=10,foraging=10, , , True, 0
outdoors_scout_camp_04, outdoors_scout_camp_03, fourByFour, False, True, False, False, 4000, 5, 0, outdoors_scout_camp_03, , camp, 20000, 40000, , 0, , , none, , private_scout_camp_4, camp=10,foraging=10, craftScoutCampGroupC, , True, 0
science, , fourByFour, True, False, False, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
science_medic, science, fourByFour, False, False, True, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
science_medic_novice, science_medic, fourByFour, False, True, False, False, 100, 15, 0, , , , 0, 0, , 0, , , none, , private_medic_novice,healDamage,healWound,medicalForage,tendWound,tendDamage,diagnose, healing_injury_treatment=5,healing_wound_treatment=5,healing_ability=5,healing_injury_speed=5,medicine_assembly=10,medicine_experimentation=10,medical_foraging=10, craftMedicineComponentGroupA,craftMedicineStimpackGroupA, , True, 0
science_medic_master, science_medic, fourByFour, False, True, False, False, 5000, 6, 0, science_medic_injury_04,science_medic_injury_speed_04,science_medic_ability_04,science_medic_crafting_04, , , 0, 0, , 0, , , none, , private_medic_master, healing_injury_treatment=25,healing_ability=10,medical_foraging=25, craftMedicineStimpackGroupD, , True, 0
science_medic_injury_01, science_medic, fourByFour, False, False, False, False, 1000, 2, 0, science_medic_novice, , medical, 1000, 10000, , 0, , , none, , private_medic_injury_1, healing_injury_treatment=15, , , True, 0
science_medic_injury_02, science_medic_injury_01, fourByFour, False, False, False, False, 2000, 3, 0, science_medic_injury_01, , medical, 5000, 20000, , 0, , , none, , private_medic_injury_2,firstAid, healing_injury_treatment=15, , , True, 0
science_medic_injury_03, science_medic_injury_02, fourByFour, False, False, False, False, 3000, 4, 0, science_medic_injury_02, , medical, 10000, 30000, , 0, , , none, , private_medic_injury_3, healing_injury_treatment=15, , , True, 0
science_medic_injury_04, science_medic_injury_03, fourByFour, False, True, False, False, 4000, 5, 0, science_medic_injury_03, , medical, 15000, 30000, , 0, , , none, , private_medic_injury_4,quickHeal, healing_injury_treatment=25, , , True, 0
science_medic_injury_speed_01, science_medic, fourByFour, False, False, False, False, 1000, 2, 0, science_medic_novice, , medical, 1000, 10000, , 0, , , none, , private_medic_speed_1, healing_injury_speed=15, , , True, 0
science_medic_injury_speed_02, science_medic_injury_speed_01, fourByFour, False, False, False, False, 2000, 3, 0, science_medic_injury_speed_01, , medical, 5000, 20000, , 0, , , none, , private_medic_speed_2,dragIncapacitatedPlayer, healing_injury_speed=15, , , True, 0
science_medic_injury_speed_03, science_medic_injury_speed_02, fourByFour, False, False, False, False, 3000, 4, 0, science_medic_injury_speed_02, , medical, 10000, 30000, , 0, , , none, , private_medic_speed_3, healing_injury_speed=15, , , True, 0
science_medic_injury_speed_04, science_medic_injury_speed_03, fourByFour, False, True, False, False, 4000, 5, 0, science_medic_injury_speed_03, , medical, 15000, 30000, , 0, , , none, , private_medic_speed_4, healing_injury_speed=25, , , True, 0
science_medic_ability_01, science_medic, fourByFour, False, False, False, False, 1000, 2, 0, science_medic_novice, , medical, 1000, 10000, , 0, , , none, , private_medic_ability_1, healing_ability=5,medical_foraging=15, , , True, 0
science_medic_ability_02, science_medic_ability_01, fourByFour, False, False, False, False, 2000, 3, 0, science_medic_ability_01, , medical, 5000, 20000, , 0, , , none, , private_medic_ability_2, healing_ability=10,medical_foraging=15, , , True, 0
science_medic_ability_03, science_medic_ability_02, fourByFour, False, False, False, False, 3000, 4, 0, science_medic_ability_02, , medical, 10000, 30000, , 0, , , none, , private_medic_ability_3, healing_ability=10,medical_foraging=15, , , True, 0
science_medic_ability_04, science_medic_ability_03, fourByFour, False, True, False, False, 4000, 5, 0, science_medic_ability_03, , medical, 15000, 30000, , 0, , , none, , private_medic_ability_4, healing_ability=10,medical_foraging=20, , , True, 0
science_medic_crafting_01, science_medic, fourByFour, False, False, False, False, 1000, 2, 0, science_medic_novice, , crafting_medicine_general, 500, 2000, , 0, , , none, , private_medic_crafting_1, medicine_assembly=10,medicine_experimentation=10, craftMedpackGroupA, , True, 0
science_medic_crafting_02, science_medic_crafting_01, fourByFour, False, False, False, False, 2000, 3, 0, science_medic_crafting_01, , crafting_medicine_general, 1000, 6000, , 0, , , none, , private_medic_crafting_2, medicine_assembly=10,medicine_experimentation=10, craftMedicineComponentGroupB,craftMedicineStimpackGroupB, , True, 0
science_medic_crafting_03, science_medic_crafting_02, fourByFour, False, False, False, False, 3000, 4, 0, science_medic_crafting_02, , crafting_medicine_general, 3000, 12000, , 0, , , none, , private_medic_crafting_3, medicine_assembly=10,medicine_experimentation=10, craftMedpackBGroupA,craftMedpackGroupB, , True, 0
science_medic_crafting_04, science_medic_crafting_03, fourByFour, False, True, False, False, 4000, 5, 0, science_medic_crafting_03, , crafting_medicine_general, 6000, 17500, , 0, , , none, , private_medic_crafting_4, medicine_assembly=10,medicine_experimentation=10, craftMedicineStimpackGroupC,craftMedicineComponentGroupD,craftMedpackBGroupB, , True, 0
crafting, , fourByFour, True, False, False, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
crafting_artisan, crafting, fourByFour, False, False, True, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
crafting_artisan_novice, crafting_artisan, fourByFour, False, True, False, False, 100, 15, 0, , , , 0, 0, , 0, , , none, , private_artisan_novice,sample,survey, surveying=20,general_assembly=20,general_experimentation=20,clothing_customization=20,armor_customization=20, craftArtisanNewbieGroupA,craftArtisanNewbieGroupB,craftArtisanSurveyGroupA, , True, 0
crafting_artisan_master, crafting_artisan, fourByFour, False, True, False, False, 5000, 6, 0, crafting_artisan_engineering_04,crafting_artisan_domestic_04,crafting_artisan_business_04,crafting_artisan_survey_04, , , 0, 0, , 0, , , none, , private_artisan_master,customizeVehicle, , craftArtisanMasterGroupA,craftArtisanVehicle, , True, 0
crafting_artisan_engineering_01, crafting_artisan, fourByFour, False, False, False, False, 1000, 2, 0, crafting_artisan_novice, , crafting_general, 500, 2000, , 0, , , none, , private_artisan_engineering_1, general_assembly=10,general_experimentation=10,armor_customization=20, craftArtisanEngineeringGroupA,craftArtisanToolGroupA, , True, 0
crafting_artisan_engineering_02, crafting_artisan_engineering_01, fourByFour, False, False, False, False, 2000, 3, 0, crafting_artisan_engineering_01, , crafting_general, 1000, 6000, , 0, , , none, , private_artisan_engineering_2, general_assembly=10,general_experimentation=10,armor_customization=20, craftArtisanEngineeringGroupB, , True, 0
crafting_artisan_engineering_03, crafting_artisan_engineering_02, fourByFour, False, False, False, False, 3000, 4, 0, crafting_artisan_engineering_02, , crafting_general, 3000, 12000, , 0, , , none, , private_artisan_engineering_3, general_assembly=10,general_experimentation=10,armor_customization=20, craftArtisanEngineeringGroupC, , True, 0
crafting_artisan_engineering_04, crafting_artisan_engineering_03, fourByFour, False, True, False, False, 4000, 5, 0, crafting_artisan_engineering_03, , crafting_general, 6000, 50000, , 0, , , none, , private_artisan_engineering_4, general_assembly=10,general_experimentation=10,armor_customization=20, craftArtisanEngineeringGroupD, , True, 0
crafting_artisan_domestic_01, crafting_artisan, fourByFour, False, False, False, False, 1000, 2, 0, crafting_artisan_novice, , crafting_general, 500, 2000, , 0, , , none, , private_artisan_domestic_1, general_assembly=10,general_experimentation=10,clothing_customization=20, craftArtisanDomesticGroupA, , True, 0
crafting_artisan_domestic_02, crafting_artisan_domestic_01, fourByFour, False, False, False, False, 2000, 3, 0, crafting_artisan_domestic_01, , crafting_general, 1000, 6000, , 0, , , none, , private_artisan_domestic_2, general_assembly=10,general_experimentation=10,clothing_customization=20, craftArtisanDomesticGroupB, , True, 0
crafting_artisan_domestic_03, crafting_artisan_domestic_02, fourByFour, False, False, False, False, 3000, 4, 0, crafting_artisan_domestic_02, , crafting_general, 3000, 12000, , 0, , , none, , private_artisan_domestic_3, general_assembly=10,general_experimentation=10,clothing_customization=20, craftArtisanDomesticGroupC, , True, 0
crafting_artisan_domestic_04, crafting_artisan_domestic_03, fourByFour, False, True, False, False, 4000, 5, 0, crafting_artisan_domestic_03, , crafting_general, 6000, 50000, , 0, , , none, , private_artisan_domestic_4, general_assembly=10,general_experimentation=10,clothing_customization=20, craftArtisanDomesticGroupD, , True, 0
crafting_artisan_business_01, crafting_artisan, fourByFour, False, False, False, False, 1000, 1, 0, crafting_artisan_novice, , crafting_general, 500, 2000, , 0, , , none, , private_artisan_business_1,access_fee, , , , True, 0
crafting_artisan_business_02, crafting_artisan_business_01, fourByFour, False, False, False, False, 2000, 1, 0, crafting_artisan_business_01, , crafting_general, 1000, 6000, , 0, , , none, , private_artisan_business_2,premium_auctions, , , , True, 0
crafting_artisan_business_03, crafting_artisan_business_02, fourByFour, False, False, False, False, 3000, 1, 0, crafting_artisan_business_02, , crafting_general, 3000, 12000, , 0, , , none, , private_artisan_business_3, manage_vendor=1,hiring=10,vendor_item_limit=100, , , True, 0
crafting_artisan_business_04, crafting_artisan_business_03, fourByFour, False, True, False, False, 4000, 1, 0, crafting_artisan_business_03, , crafting_general, 6000, 50000, , 0, , , none, , private_artisan_business_4, manage_vendor=1,hiring=10,vendor_item_limit=150, , , True, 0
crafting_artisan_survey_01, crafting_artisan, fourByFour, False, False, False, False, 1000, 2, 0, crafting_artisan_novice, , resource_harvesting_inorganic, 500, 5000, , 0, , , none, , private_artisan_survey_1, surveying=15, , , True, 0
crafting_artisan_survey_02, crafting_artisan_survey_01, fourByFour, False, False, False, False, 2000, 3, 0, crafting_artisan_survey_01, , resource_harvesting_inorganic, 2500, 10000, , 0, , , none, , private_artisan_survey_2, surveying=20, , , True, 0
crafting_artisan_survey_03, crafting_artisan_survey_02, fourByFour, False, False, False, False, 3000, 4, 0, crafting_artisan_survey_02, , resource_harvesting_inorganic, 5000, 20000, , 0, , , none, , private_artisan_survey_3, surveying=20, , , True, 0
crafting_artisan_survey_04, crafting_artisan_survey_03, fourByFour, False, True, False, False, 4000, 5, 0, crafting_artisan_survey_03, , resource_harvesting_inorganic, 10000, 20000, , 0, , , none, , private_artisan_survey_4, surveying=25, , , True, 0
combat, , fourByFour, True, False, False, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
combat_brawler, combat, fourByFour, False, False, True, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
combat_brawler_novice, combat_brawler, fourByFour, False, True, False, False, 100, 15, 0, , , , 0, 0, , 0, , , none, , private_brawler_novice,polearmLunge1,unarmedLunge1,melee1hLunge1,melee2hLunge1,taunt,warcry1,intimidate1,berserk1,cert_knife_dagger,centerOfBeing, unarmed_accuracy=10,unarmed_damage=15,unarmed_speed=5,polearm_accuracy=10,polearm_speed=5,onehandmelee_accuracy=10,onehandmelee_speed=5,twohandmelee_accuracy=10,twohandmelee_speed=5,private_onehandmelee_combat_difficulty=100,private_twohandmelee_combat_difficulty=100,private_unarmed_combat_difficulty=100,private_polearm_combat_difficulty=100,taunt=10,unarmed_center_of_being_efficacy=10,polearm_center_of_being_efficacy=10,onehandmelee_center_of_being_efficacy=10,twohandmelee_center_of_being_efficacy=10,center_of_being_duration_unarmed=5,center_of_being_duration_onehandmelee=5,center_of_being_duration_twohandmelee=5,center_of_being_duration_polearm=5, , , True, 0
combat_brawler_master, combat_brawler, fourByFour, False, True, False, False, 5000, 6, 0, combat_brawler_unarmed_04,combat_brawler_1handmelee_04,combat_brawler_2handmelee_04,combat_brawler_polearm_04, , , 0, 0, , 0, , , none, , private_brawler_master,polearmLunge2,unarmedLunge2,melee1hLunge2,melee2hLunge2,warcry2,intimidate2,berserk2, warcry=20,intimidate=20,berserk=20,unarmed_accuracy=5,unarmed_speed=5,onehandmelee_speed=5,onehandmelee_accuracy=5,twohandmelee_speed=5,twohandmelee_accuracy=5,polearm_speed=5,polearm_accuracy=5,melee_defense=5,ranged_defense=5,private_onehandmelee_combat_difficulty=100,private_twohandmelee_combat_difficulty=100,private_unarmed_combat_difficulty=100,private_polearm_combat_difficulty=100,taunt=30,polearm_toughness=5,onehandmelee_toughness=5,twohandmelee_toughness=5,unarmed_toughness=5,unarmed_center_of_being_efficacy=10,polearm_center_of_being_efficacy=10,onehandmelee_center_of_being_efficacy=10,twohandmelee_center_of_being_efficacy=10,center_of_being_duration_onehandmelee=5,center_of_being_duration_twohandmelee=5,center_of_being_duration_polearm=5, , , True, 0
combat_brawler_unarmed_01, combat_brawler, fourByFour, False, False, False, False, 1000, 2, 0, combat_brawler_novice, , combat_meleespecialize_unarmed, 1000, 10000, , 0, , , none, , private_brawler_unarmed_1,unarmedHit1, unarmed_speed=5,unarmed_accuracy=10,private_unarmed_combat_difficulty=100,unarmed_damage=5,unarmed_center_of_being_efficacy=10,center_of_being_duration_unarmed=2, , , True, 0
combat_brawler_unarmed_02, combat_brawler_unarmed_01, fourByFour, False, False, False, False, 2000, 3, 0, combat_brawler_unarmed_01, , combat_meleespecialize_unarmed, 5000, 30000, , 0, , , none, , private_brawler_unarmed_2,unarmedStun1, unarmed_speed=5,unarmed_accuracy=10,private_unarmed_combat_difficulty=100,unarmed_damage=10,unarmed_center_of_being_efficacy=10,center_of_being_duration_unarmed=2, , , True, 0
combat_brawler_unarmed_03, combat_brawler_unarmed_02, fourByFour, False, False, False, False, 3000, 4, 0, combat_brawler_unarmed_02, , combat_meleespecialize_unarmed, 15000, 140000, , 0, , , none, , private_brawler_unarmed_3,unarmedBlind1, unarmed_speed=5,unarmed_accuracy=10,private_unarmed_combat_difficulty=100,unarmed_toughness=10,unarmed_damage=10,unarmed_center_of_being_efficacy=5,center_of_being_duration_unarmed=2, , , True, 0
combat_brawler_unarmed_04, combat_brawler_unarmed_03, fourByFour, False, True, False, False, 4000, 5, 0, combat_brawler_unarmed_03, , combat_meleespecialize_unarmed, 70000, 200000, , 0, , , none, , private_brawler_unarmed_4,unarmedSpinAttack1, unarmed_speed=5,unarmed_accuracy=10,melee_defense=2,private_unarmed_combat_difficulty=100,unarmed_toughness=10,unarmed_damage=10,unarmed_center_of_being_efficacy=10,center_of_being_duration_unarmed=2, , , True, 0
combat_brawler_1handmelee_01, combat_brawler, fourByFour, False, False, False, False, 1000, 2, 0, combat_brawler_novice, , combat_meleespecialize_onehand, 1000, 10000, , 0, , , none, , private_brawler_1hand_1,melee1hHit1,cert_sword_01,cert_baton_gaderiffi,cert_sword_02, onehandmelee_speed=5,onehandmelee_accuracy=10,private_onehandmelee_combat_difficulty=100,center_of_being_duration_onehandmelee=2,onehandmelee_center_of_being_efficacy=10, , , True, 0
combat_brawler_1handmelee_02, combat_brawler_1handmelee_01, fourByFour, False, False, False, False, 2000, 3, 0, combat_brawler_1handmelee_01, , combat_meleespecialize_onehand, 5000, 30000, , 0, , , none, , private_brawler_1hand_2,melee1hBodyHit1,cert_knife_vibroblade, onehandmelee_speed=5,onehandmelee_accuracy=10,private_onehandmelee_combat_difficulty=100,center_of_being_duration_onehandmelee=2,onehandmelee_center_of_being_efficacy=10, , , True, 0
combat_brawler_1handmelee_03, combat_brawler_1handmelee_02, fourByFour, False, False, False, False, 3000, 4, 0, combat_brawler_1handmelee_02, , combat_meleespecialize_onehand, 15000, 140000, , 0, , , none, , private_brawler_1hand_3,melee1hDizzyHit1,cert_sword_blade_ryyk, onehandmelee_speed=5,onehandmelee_accuracy=10,private_onehandmelee_combat_difficulty=100,onehandmelee_toughness=10,center_of_being_duration_onehandmelee=2,onehandmelee_center_of_being_efficacy=10, , , True, 0
combat_brawler_1handmelee_04, combat_brawler_1handmelee_03, fourByFour, False, True, False, False, 4000, 5, 0, combat_brawler_1handmelee_03, , combat_meleespecialize_onehand, 70000, 200000, , 0, , , none, , private_brawler_1hand_4,melee1hSpinAttack1,cert_sword_blade_rantok, onehandmelee_speed=5,onehandmelee_accuracy=10,private_onehandmelee_combat_difficulty=100,onehandmelee_toughness=10,center_of_being_duration_onehandmelee=2,onehandmelee_center_of_being_efficacy=10, , , True, 0
combat_brawler_2handmelee_01, combat_brawler, fourByFour, False, False, False, False, 1000, 2, 0, combat_brawler_novice, , combat_meleespecialize_twohand, 1000, 10000, , 0, , , none, , private_brawler_2hand_1,melee2hHit1,cert_sword_2h_axe, twohandmelee_speed=5,twohandmelee_accuracy=10,private_twohandmelee_combat_difficulty=100,center_of_being_duration_twohandmelee=2,twohandmelee_center_of_being_efficacy=10, , , True, 0
